element_type,id,now_cost,selected_by_percent,team,web_name
2,3653,55.0,0,19,Lyanco Evangelista Silveira Neves Vojnovic
3,3663,80.0,0,19,Moussa Djenepo
3,2775,105.0,0,19,Nathan Tella
2,3658,60.0,0,19,Romain Paul Jean-Michel Perraud
3,2357,60.0,0,19,Roméo Lavia
2,698,70.0,0,19,Ryan Manning
3,2392,80.0,0,19,Samuel Edozie
4,3664,80.0,0,19,Sekou Mara
3,3849,60.0,0,19,Shea Charles
3,3662,75.0,0,19,Stuart Armstrong
2,3659,70.0,0,19,Valentino Francisco Livramento
3,2742,70.0,0,19,Will Smallbone
3,3877,65.0,0,20,Andre Vidigal
3,351,50.0,0,20,Ben Pearson
2,794,50.0,0,20,Ben Wilmot
3,354,65.0,0,20,Daniel Johnson
3,2462,50.0,0,20,D'Margio Wright-Phillips
4,2741,60.0,0,20,Dwight Gayle
4,2619,50.0,0,20,Emre Tezgel
2,1541,50.0,0,20,Enda Stevens
3,3872,65.0,0,20,Francisco Jorge Tavares Oliveira
1,1690,45.0,0,20,Jack Bonham
4,857,65.0,0,20,Jacob Brown
3,780,50.0,0,20,Jordan Thompson
3,1274,55.0,0,20,Josh Laurent
2,761,50.0,0,20,Josh Tymon
2,3552,55.0,0,20,Ki-Jana Hoever
3,166,60.0,0,20,Lewis Baker
2,2719,50.0,0,20,Luke McNally
1,1015,50.0,0,20,Mark Travers
2,1147,50.0,0,20,Michael Rose
4,3127,65.0,0,20,Ryan Mmaee A'Nwambeben Kabir
4,772,70.0,0,20,Tyrese Campbell
4,3884,65.0,0,20,Wesley Moraes
3,2802,55.0,0,21,Abdoullah Ba
2,2733,50.0,0,21,Aji Alese
3,59,65.0,0,21,Alex Pritchard
1,2677,55.0,0,21,Anthony Patterson
3,593,60.0,0,21,Bradley Dack
3,3527,50.0,0,21,Chris Rigg
3,608,45.0,0,21,Corry Evans
2,1659,55.0,0,21,Daniel George Ballard
3,2683,55.0,0,21,Daniel Neil
2,756,55.0,0,21,Danny Batth
2,2679,55.0,0,21,Dennis Cirkin
3,1641,55.0,0,21,Elliot Embleton
3,1915,55.0,0,21,Isaac Lihadji
3,479,90.0,0,21,Jack Clarke
3,2687,45.0,0,21,Jay Matete
2,3827,50.0,0,21,Jenson Seelt
3,2812,60.0,0,21,Jewison Bennette
3,2418,60.0,0,21,Jobe Bellingham
4,3829,60.0,0,21,Luis Semedo
3,2684,50.0,0,21,Luke O'Nien
3,2682,55.0,0,21,Lynden Gooch
1,3898,50.0,0,21,Nathan Bishop
2,3828,50.0,0,21,Nectarios Triantis
2,2680,45.0,0,21,Niall Huggins
3,668,80.0,0,21,Patrick Roberts
3,3546,50.0,0,21,Pierre Ekwah
4,2692,85.0,0,21,Ross Stewart
2,2681,55.0,0,21,Trai Hume
1,606,45.0,0,22,Andy Fisher
2,798,50.0,0,22,Benjamin Cabango
2,789,40.0,0,22,Brandon Cooper
3,2578,45.0,0,22,Cameron Congreve
1,3892,45.0,0,22,Carl Rushworth
2,3900,50.0,0,22,Harrison Ashby
2,2693,50.0,0,22,Harry Darling
3,289,65.0,0,22,Jamie Paterson
3,799,50.0,0,22,Jay Fulton
4,1128,75.0,0,22,Jerry Yates
3,784,50.0,0,22,Joe Allen
4,1664,100.0,0,22,Joel Piroe
3,368,60.0,0,22,Josh Ginnelly
2,3853,50.0,0,22,Josh Key
2,796,45.0,0,22,Kyle Naughton
4,809,60.0,0,22,Liam Cullen
3,291,50.0,0,22,Liam Walsh
3,800,55.0,0,22,Matt Grimes
4,3890,60.0,0,22,Mykola Kukharevych
2,670,50.0,0,22,Nathan Wood-Gordon
2,2536,45.0,0,22,Nathanael Ogbeta
3,1345,60.0,0,22,Oliver Cooper
3,2333,60.0,0,22,Olivier Ntcham
1,787,45.0,0,22,Steven Benda
3,1295,55.0,0,23,Ayotomiwa Dele-Bashiru
1,614,50.0,0,23,Ben Hamer
1,980,55.0,0,23,Daniel Bachmann
3,2701,55.0,0,23,Edo Kayembe
2,1258,55.0,0,23,Francisco Sierralta
3,3896,70.0,0,23,Giorgi Chakvetadze
3,2700,70.0,0,23,Imrân Louza
3,3455,60.0,0,23,Ismael Kenneth Jordan Kone
3,386,50.0,0,23,Jake Livermore
2,1053,60.0,0,23,Jamal Lewis
2,2818,50.0,0,23,James Morris
2,1203,55.0,0,23,Jeremy Ngakia
